build_id,tag
OPR6.170623.023,android-8.0.0_r32
OPR5.170623.011,android-8.0.0_r31
OPR3.170623.013,android-8.0.0_r30
OPR2.170623.027,android-8.0.0_r29
OPR1.170623.032,android-8.0.0_r28
OPD3.170816.016,android-8.0.0_r27
OPD2.170816.015,android-8.0.0_r26
OPD1.170816.018,android-8.0.0_r25
OPD3.170816.012,android-8.0.0_r24
OPD1.170816.012,android-8.0.0_r23
OPD1.170816.011,android-8.0.0_r22
OPD1.170816.010,android-8.0.0_r21
OPR5.170623.007,android-8.0.0_r17
OPR4.170623.009,android-8.0.0_r16
OPR3.170623.008,android-8.0.0_r15
OPR1.170623.027,android-8.0.0_r13
OPR6.170623.021,android-8.0.0_r12
OPR6.170623.019,android-8.0.0_r11
OPR4.170623.006,android-8.0.0_r10
OPR3.170623.007,android-8.0.0_r9
OPR1.170623.026,android-8.0.0_r7
OPR6.170623.013,android-8.0.0_r4
OPR6.170623.012,android-8.0.0_r3
OPR6.170623.011,android-8.0.0_r2
OPR6.170623.010,android-8.0.0_r1
5787804,android-7.1.2_r39
5725750,android-7.1.2_r38
5650810,android-7.1.2_r37
N2G48H,android-7.1.2_r36
NZH54D,android-7.1.2_r33
NKG47S,android-7.1.2_r32
NHG47Q,android-7.1.2_r30
NJH47F,android-7.1.2_r29
N2G48C,android-7.1.2_r28
NZH54B,android-7.1.2_r27
NKG47M,android-7.1.2_r25
NJH47D,android-7.1.2_r24
NHG47O,android-7.1.2_r23
N2G48B,android-7.1.2_r19
N2G47Z,android-7.1.2_r18
NJH47B,android-7.1.2_r17
NJH34C,android-7.1.2_r16
NKG47L,android-7.1.2_r15
NHG47N,android-7.1.2_r14
N2G47X,android-7.1.2_r13
N2G47W,android-7.1.2_r12
NHG47L,android-7.1.2_r11
N2G47T,android-7.1.2_r10
N2G47R,android-7.1.2_r9
N2G47O,android-7.1.2_r8
NHG47K,android-7.1.2_r6
N2G47J,android-7.1.2_r5
N2G47H,android-7.1.2_r4
N2G47F,android-7.1.2_r3
N2G47E,android-7.1.2_r2
N2G47D,android-7.1.2_r1
5787798,android-7.1.1_r61
5725749,android-7.1.1_r60
5650809,android-7.1.1_r59
N9F27M,android-7.1.1_r58
NGI77B,android-7.1.1_r57
N8I11F,android-7.1.1_r56
N6F27M,android-7.1.1_r55
N4F27P,android-7.1.1_r54
N9F27L,android-7.1.1_r53
NGI55D,android-7.1.1_r52
N4F27O,android-7.1.1_r51
N8I11B,android-7.1.1_r50
N9F27H,android-7.1.1_r49
N6F27I,android-7.1.1_r48
N4F27K,android-7.1.1_r47
N9F27F,android-7.1.1_r46
N6F27H,android-7.1.1_r45
N4F27I,android-7.1.1_r44
N9F27C,android-7.1.1_r43
N6F27E,android-7.1.1_r42
N4F27E,android-7.1.1_r41
N6F27C,android-7.1.1_r40
N4F27B,android-7.1.1_r39
N6F26Y,android-7.1.1_r38
NOF27D,android-7.1.1_r35
N4F26X,android-7.1.1_r33
N4F26U,android-7.1.1_r31
N6F26U,android-7.1.1_r28
NUF26N,android-7.1.1_r27
NOF27C,android-7.1.1_r26
NOF27B,android-7.1.1_r25
N4F26T,android-7.1.1_r24
NMF27D,android-7.1.1_r23
NMF26X,android-7.1.1_r22
NOF26W,android-7.1.1_r21
NOF26V,android-7.1.1_r20
N6F26R,android-7.1.1_r17
NUF26K,android-7.1.1_r16
N4F26Q,android-7.1.1_r15
N4F26O,android-7.1.1_r14
N6F26Q,android-7.1.1_r13
N4F26M,android-7.1.1_r12
N4F26J,android-7.1.1_r11
N4F26I,android-7.1.1_r10
NMF26V,android-7.1.1_r9
NMF26U,android-7.1.1_r8
NMF26R,android-7.1.1_r7
NMF26Q,android-7.1.1_r6
